time step, x, y
100, 0.8450552437949008, -0.005256894024620987
200, 1.668117791952909, -0.01166328299271898
300, 2.4662081025822267, -0.022239486443054225
400, 3.239312583134131, -0.03498555056532521
500, 3.985431279798436, -0.049915067908481506
600, 4.704577785123863, -0.06902799228259726
700, 5.395738529656655, -0.09033116615230011
800, 6.055927175230537, -0.11584493215085923
900, 6.6861301062014835, -0.14356254019372844
1000, 7.285347345664459, -0.17349078655560946
1100, 7.852585712988901, -0.20663644441578563
1200, 8.38684523127, -0.24300631004872986
1300, 8.89011226176865, -0.2805868370954223
1400, 9.360386850674784, -0.319391618105039
1500, 9.79966895179847, -0.35940706052817656
1600, 10.208951745770271, -0.39962639118555154
1700, 10.589242005769927, -0.4410427907079517
1800, 10.941526116153637, -0.481649509010602
1900, 11.268804007636055, -0.5214261572698548
2000, 11.572075657122788, -0.5603659392114593
2100.0, 11.855347768507997, -0.5994416466425572
2200.0, 12.119606726148454, -0.6366465294785969
2300.0, 12.369852414569, -0.6719466063474362
2400.0, 12.60709840322373, -0.7073350347839902
2500.0, 12.834344622827873, -0.7427914259655172
2600.0, 13.055584184727323, -0.7772886178888542
2700.0, 13.271823862101249, -0.8118197911843382
2800.0, 13.48607038193969, -0.847364533934034
